Thu Aug 11 2022 16:34:27 GMT+0200 (heure d’été d’Europe centrale)-player name : α - system : solar-system-dispatch
5229s - set source file : french-numbers.wav
7254s - recorded new file
8490s - set new target sound
14587s - set grain period : 0.057
14705s - set grain period : 0.057
14720s - set grain period : 0.057
14735s - set grain period : 0.059
14752s - set grain period : 0.06
14769s - set grain period : 0.063
14786s - set grain period : 0.068
14802s - set grain period : 0.07
14819s - set grain period : 0.072
14836s - set grain period : 0.074
14852s - set grain period : 0.076
14869s - set grain period : 0.077
14885s - set grain period : 0.078
14902s - set grain period : 0.078
14917s - set grain period : 0.078
14934s - set grain period : 0.079
14951s - set grain period : 0.079
14967s - set grain period : 0.079
14984s - set grain period : 0.08
15001s - set grain period : 0.081
15017s - set grain period : 0.082
15035s - set grain period : 0.083
15050s - set grain period : 0.083
15067s - set grain period : 0.084
15084s - set grain period : 0.084
15102s - set grain period : 0.084
15718s - set grain duration : 0.201
15863s - set grain duration : 0.201
15872s - set grain duration : 0.204
15884s - set grain duration : 0.207
15901s - set grain duration : 0.217
15917s - set grain duration : 0.228
15934s - set grain duration : 0.241
15951s - set grain duration : 0.255
15968s - set grain duration : 0.264
15985s - set grain duration : 0.275
16000s - set grain duration : 0.281
16017s - set grain duration : 0.283
16035s - set grain duration : 0.285
16051s - set grain duration : 0.285
16067s - set grain duration : 0.285
16084s - set grain duration : 0.286
16134s - set grain duration : 0.286
16151s - set grain duration : 0.288
16167s - set grain duration : 0.293
16185s - set grain duration : 0.297
16201s - set grain duration : 0.304
16217s - set grain duration : 0.309
16234s - set grain duration : 0.312
16251s - set grain duration : 0.312
16267s - set grain duration : 0.314
16284s - set grain duration : 0.314
16332s - set grain duration : 0.314
16470s - set grain duration : 0.315
16484s - set grain duration : 0.315
16501s - set grain duration : 0.315
16517s - set grain duration : 0.317
16534s - set grain duration : 0.317
16551s - set grain duration : 0.317
16567s - set grain duration : 0.317
16634s - set grain duration : 0.317
16651s - set grain duration : 0.318
16667s - set grain duration : 0.318
16684s - set grain duration : 0.318
16701s - set grain duration : 0.32
16717s - set grain duration : 0.32
16734s - set grain duration : 0.32
16751s - set grain duration : 0.322
16826s - set grain duration : 0.322
16834s - set grain duration : 0.322
16851s - set grain duration : 0.322
16867s - set grain duration : 0.323
16884s - set grain duration : 0.323
16901s - set grain duration : 0.325
16917s - set grain duration : 0.325
17078s - set grain duration : 0.325
17086s - set grain duration : 0.325
17101s - set grain duration : 0.326
17117s - set grain duration : 0.326
17151s - set grain duration : 0.326
17426s - set grain duration : 0.326
17450s - set grain duration : 0.326
17458s - set grain duration : 0.325
17484s - set grain duration : 0.325
Set selection shorter. N frames per loop : 4
Set selection shorter. N frames per loop : 2
Set selection shorter. N frames per loop : 1
